year,quarter,quarter_str,zip3,substance,grams,zip3_pop,gramsper100K,cnty_RUCC
2019,3,2019Q3,006,AMPHETAMINE,1590.98,1043356.834,152.49,1
2019,3,2019Q3,006,BUPRENORPHINE,569.43,1043356.834,54.58,1
2019,3,2019Q3,006,CODEINE,3172.6,1043356.834,304.08,1
2019,3,2019Q3,006,FENTANYL,39.5,1043356.834,3.79,1
2019,3,2019Q3,006,HYDROCODONE,133.61,1043356.834,12.81,1
2019,3,2019Q3,006,HYDROMORPHONE,18.09,1043356.834,1.73,1
2019,3,2019Q3,006,LISDEXAMFETAMINE,347.44,1043356.834,33.3,1
2019,3,2019Q3,006,MEPERIDINE,1322.5,1043356.834,126.75,1
2019,3,2019Q3,006,METHADONE,1613.05,1043356.834,154.6,1
2019,3,2019Q3,006,METHYLPHENIDATE,2512.63,1043356.834,240.82,1
2019,3,2019Q3,006,MORPHINE,277.6,1043356.834,26.61,1
2019,3,2019Q3,006,OXYCODONE,3275.63,1043356.834,313.95,1
2019,3,2019Q3,006,TAPENTADOL,102.5,1043356.834,9.82,1
2019,3,2019Q3,007,AMPHETAMINE,1571.58,1197585.85,131.23,1
2019,3,2019Q3,007,BUPRENORPHINE,1051.35,1197585.85,87.79,1
2019,3,2019Q3,007,CODEINE,2854.34,1197585.85,238.34,1
2019,3,2019Q3,007,FENTANYL,45.51,1197585.85,3.8,1
2019,3,2019Q3,007,HYDROCODONE,94.74,1197585.85,7.91,1
2019,3,2019Q3,007,HYDROMORPHONE,3.37,1197585.85,0.28,1
2019,3,2019Q3,007,LISDEXAMFETAMINE,286.74,1197585.85,23.94,1
2019,3,2019Q3,007,MEPERIDINE,1161.82,1197585.85,97.01,1
2019,3,2019Q3,007,METHADONE,5368.19,1197585.85,448.25,1
2019,3,2019Q3,007,METHYLPHENIDATE,2656.19,1197585.85,221.8,1
2019,3,2019Q3,007,MORPHINE,461.63,1197585.85,38.55,1
2019,3,2019Q3,007,OXYCODONE,3169.76,1197585.85,264.68,1
2019,3,2019Q3,007,TAPENTADOL,22.5,1197585.85,1.88,1
2019,3,2019Q3,009,AMPHETAMINE,4030.4,951037.3083,423.79,1
2019,3,2019Q3,009,BUPRENORPHINE,463.51,951037.3083,48.74,1
2019,3,2019Q3,009,CODEINE,2205.92,951037.3083,231.95,1
2019,3,2019Q3,009,FENTANYL,54.62,951037.3083,5.74,1
2019,3,2019Q3,009,HYDROCODONE,114.37,951037.3083,12.03,1
2019,3,2019Q3,009,HYDROMORPHONE,28.89,951037.3083,3.04,1
2019,3,2019Q3,009,LISDEXAMFETAMINE,1356.8,951037.3083,142.67,1
2019,3,2019Q3,009,MEPERIDINE,1482.09,951037.3083,155.84,1
2019,3,2019Q3,009,METHADONE,17210.76,951037.3083,1809.68,1
2019,3,2019Q3,009,METHYLPHENIDATE,4754.5,951037.3083,499.93,1
2019,3,2019Q3,009,MORPHINE,883.65,951037.3083,92.91,1
2019,3,2019Q3,009,OXYCODONE,4370.17,951037.3083,459.52,1
2019,3,2019Q3,009,TAPENTADOL,302.5,951037.3083,31.81,1
2019,3,2019Q3,010,AMPHETAMINE,8906.18,467175.0772,1906.39,2
2019,3,2019Q3,010,BUPRENORPHINE,3702.92,467175.0772,792.62,2
2019,3,2019Q3,010,CODEINE,2430.18,467175.0772,520.19,2
2019,3,2019Q3,010,FENTANYL,88.02,467175.0772,18.84,2
2019,3,2019Q3,010,HYDROCODONE,1587.22,467175.0772,339.75,2
2019,3,2019Q3,010,HYDROMORPHONE,408.63,467175.0772,87.47,2
2019,3,2019Q3,010,LISDEXAMFETAMINE,1940.68,467175.0772,415.41,2
2019,3,2019Q3,010,MEPERIDINE,55.56,467175.0772,11.89,2
2019,3,2019Q3,010,METHADONE,11741.5,467175.0772,2513.3,2
2019,3,2019Q3,010,METHAMPHETAMINE,1.21,467175.0772,0.26,2
2019,3,2019Q3,010,METHYLPHENIDATE,9111.7,467175.0772,1950.38,2
2019,3,2019Q3,010,MORPHINE,5880.63,467175.0772,1258.76,2
2019,3,2019Q3,010,OXYCODONE,18073.32,467175.0772,3868.64,2
2019,3,2019Q3,010,OXYMORPHONE,41.57,467175.0772,8.9,2
2019,3,2019Q3,010,TAPENTADOL,974.5,467175.0772,208.59,2
2019,3,2019Q3,011,AMPHETAMINE,2417.81,167790.7045,1440.97,2
2019,3,2019Q3,011,BUPRENORPHINE,1495.4,167790.7045,891.23,2
2019,3,2019Q3,011,CODEINE,847.71,167790.7045,505.22,2
2019,3,2019Q3,011,FENTANYL,27.12,167790.7045,16.16,2
2019,3,2019Q3,011,HYDROCODONE,340.06,167790.7045,202.67,2
2019,3,2019Q3,011,HYDROMORPHONE,273.69,167790.7045,163.11,2
2019,3,2019Q3,011,LISDEXAMFETAMINE,751.53,167790.7045,447.9,2
2019,3,2019Q3,011,MEPERIDINE,11.44,167790.7045,6.82,2
2019,3,2019Q3,011,METHADONE,9818.74,167790.7045,5851.78,2
2019,3,2019Q3,011,METHYLPHENIDATE,3733.1,167790.7045,2224.86,2
2019,3,2019Q3,011,MORPHINE,2628.87,167790.7045,1566.76,2
2019,3,2019Q3,011,OXYCODONE,7252.92,167790.7045,4322.6,2
2019,3,2019Q3,011,OXYMORPHONE,19.27,167790.7045,11.48,2
2019,3,2019Q3,011,TAPENTADOL,144,167790.7045,85.82,2
2019,3,2019Q3,012,AMPHETAMINE,2476.42,124808.5539,1984.17,2
2019,3,2019Q3,012,BUPRENORPHINE,1566.88,124808.5539,1255.43,2
2019,3,2019Q3,012,CODEINE,389.68,124808.5539,312.22,2
2019,3,2019Q3,012,FENTANYL,21.48,124808.5539,17.21,2
2019,3,2019Q3,012,HYDROCODONE,497.53,124808.5539,398.63,2
2019,3,2019Q3,012,HYDROMORPHONE,91.13,124808.5539,73.02,2
2019,3,2019Q3,012,LISDEXAMFETAMINE,537.63,124808.5539,430.76,2
2019,3,2019Q3,012,MEPERIDINE,0,124808.5539,0,2
2019,3,2019Q3,012,METHADONE,4707.23,124808.5539,3771.56,2
2019,3,2019Q3,012,METHYLPHENIDATE,3765.99,124808.5539,3017.41,2
2019,3,2019Q3,012,MORPHINE,934.34,124808.5539,748.62,2
2019,3,2019Q3,012,OXYCODONE,3590.14,124808.5539,2876.52,2
2019,3,2019Q3,012,OXYMORPHONE,19.27,124808.5539,15.44,2
2019,3,2019Q3,012,TAPENTADOL,105,124808.5539,84.13,2
2019,3,2019Q3,013,AMPHETAMINE,2663.29,83230.94653,3199.88,2
2019,3,2019Q3,013,BUPRENORPHINE,1120.74,83230.94653,1346.54,2
2019,3,2019Q3,013,CODEINE,383.95,83230.94653,461.31,2
2019,3,2019Q3,013,FENTANYL,11.63,83230.94653,13.97,2
2019,3,2019Q3,013,HYDROCODONE,302.36,83230.94653,363.28,2
2019,3,2019Q3,013,HYDROMORPHONE,56.12,83230.94653,67.43,2
2019,3,2019Q3,013,LISDEXAMFETAMINE,447.45,83230.94653,537.6,2
2019,3,2019Q3,013,MEPERIDINE,0.54,83230.94653,0.65,2
2019,3,2019Q3,013,METHADONE,1349.02,83230.94653,1620.82,2
2019,3,2019Q3,013,METHAMPHETAMINE,0,83230.94653,0,2
2019,3,2019Q3,013,METHYLPHENIDATE,1944.58,83230.94653,2336.37,2
2019,3,2019Q3,013,MORPHINE,1106.87,83230.94653,1329.88,2
2019,3,2019Q3,013,OXYCODONE,3241.58,83230.94653,3894.68,2
2019,3,2019Q3,013,OXYMORPHONE,7.76,83230.94653,9.32,2
2019,3,2019Q3,013,TAPENTADOL,30,83230.94653,36.04,2
2019,3,2019Q3,014,AMPHETAMINE,5630,226035.8311,2490.76,1
2019,3,2019Q3,014,BUPRENORPHINE,1396.92,226035.8311,618.01,1
2019,3,2019Q3,014,CODEINE,1226.06,226035.8311,542.42,1
2019,3,2019Q3,014,FENTANYL,23.63,226035.8311,10.45,1
2019,3,2019Q3,014,HYDROCODONE,958.32,226035.8311,423.97,1
2019,3,2019Q3,014,HYDROMORPHONE,77.47,226035.8311,34.27,1
2019,3,2019Q3,014,LISDEXAMFETAMINE,1551.04,226035.8311,686.19,1
2019,3,2019Q3,014,MEPERIDINE,2.72,226035.8311,1.2,1
2019,3,2019Q3,014,METHADONE,7063.97,226035.8311,3125.15,1
2019,3,2019Q3,014,METHAMPHETAMINE,2.01,226035.8311,0.89,1
