year,quarter,quarter_str,zip3,substance,grams,zip3_pop,gramsper100K,cnty_RUCC
2020,2,2020Q2,006,AMPHETAMINE,1545.55,1031054.573,149.9,1
2020,2,2020Q2,006,BUPRENORPHINE,440.48,1031054.573,42.72,1
2020,2,2020Q2,006,CODEINE,2665.38,1031054.573,258.51,1
2020,2,2020Q2,006,FENTANYL,35.06,1031054.573,3.4,1
2020,2,2020Q2,006,HYDROCODONE,110.48,1031054.573,10.72,1
2020,2,2020Q2,006,HYDROMORPHONE,12.41,1031054.573,1.2,1
2020,2,2020Q2,006,LISDEXAMFETAMINE,262.46,1031054.573,25.46,1
2020,2,2020Q2,006,MEPERIDINE,441.63,1031054.573,42.83,1
2020,2,2020Q2,006,METHADONE,1831.73,1031054.573,177.66,1
2020,2,2020Q2,006,METHYLPHENIDATE,2221.68,1031054.573,215.48,1
2020,2,2020Q2,006,MORPHINE,291.65,1031054.573,28.29,1
2020,2,2020Q2,006,OXYCODONE,2856.92,1031054.573,277.09,1
2020,2,2020Q2,006,TAPENTADOL,40,1031054.573,3.88,1
2020,2,2020Q2,007,AMPHETAMINE,1455.17,1186083.501,122.69,1
2020,2,2020Q2,007,BUPRENORPHINE,1078.97,1186083.501,90.97,1
2020,2,2020Q2,007,CODEINE,1993.51,1186083.501,168.08,1
2020,2,2020Q2,007,FENTANYL,40.87,1186083.501,3.45,1
2020,2,2020Q2,007,HYDROCODONE,49.14,1186083.501,4.14,1
2020,2,2020Q2,007,HYDROMORPHONE,4.96,1186083.501,0.42,1
2020,2,2020Q2,007,LISDEXAMFETAMINE,193.09,1186083.501,16.28,1
2020,2,2020Q2,007,MEPERIDINE,212.54,1186083.501,17.92,1
2020,2,2020Q2,007,METHADONE,5373.56,1186083.501,453.05,1
2020,2,2020Q2,007,METHYLPHENIDATE,2387.46,1186083.501,201.29,1
2020,2,2020Q2,007,MORPHINE,201,1186083.501,16.95,1
2020,2,2020Q2,007,OXYCODONE,2612.85,1186083.501,220.29,1
2020,2,2020Q2,007,TAPENTADOL,12,1186083.501,1.01,1
2020,2,2020Q2,009,AMPHETAMINE,3822.9,940484.9187,406.48,1
2020,2,2020Q2,009,BUPRENORPHINE,430.5,940484.9187,45.77,1
2020,2,2020Q2,009,CODEINE,1615.58,940484.9187,171.78,1
2020,2,2020Q2,009,FENTANYL,50.82,940484.9187,5.4,1
2020,2,2020Q2,009,HYDROCODONE,73.44,940484.9187,7.81,1
2020,2,2020Q2,009,HYDROMORPHONE,24.12,940484.9187,2.56,1
2020,2,2020Q2,009,LISDEXAMFETAMINE,1255.63,940484.9187,133.51,1
2020,2,2020Q2,009,MEPERIDINE,683.8,940484.9187,72.71,1
2020,2,2020Q2,009,METHADONE,15481.17,940484.9187,1646.08,1
2020,2,2020Q2,009,METHYLPHENIDATE,3807.59,940484.9187,404.85,1
2020,2,2020Q2,009,MORPHINE,701.64,940484.9187,74.6,1
2020,2,2020Q2,009,OXYCODONE,3657.72,940484.9187,388.92,1
2020,2,2020Q2,009,TAPENTADOL,202.5,940484.9187,21.53,1
2020,2,2020Q2,010,AMPHETAMINE,8706.28,466090.2259,1867.94,2
2020,2,2020Q2,010,BUPRENORPHINE,3767.89,466090.2259,808.4,2
2020,2,2020Q2,010,CODEINE,2046.61,466090.2259,439.1,2
2020,2,2020Q2,010,FENTANYL,74.8,466090.2259,16.05,2
2020,2,2020Q2,010,HYDROCODONE,1425.82,466090.2259,305.91,2
2020,2,2020Q2,010,HYDROMORPHONE,427.06,466090.2259,91.63,2
2020,2,2020Q2,010,LISDEXAMFETAMINE,1936.06,466090.2259,415.38,2
2020,2,2020Q2,010,MEPERIDINE,52.83,466090.2259,11.33,2
2020,2,2020Q2,010,METHADONE,12335.12,466090.2259,2646.51,2
2020,2,2020Q2,010,METHAMPHETAMINE,0.8,466090.2259,0.17,2
2020,2,2020Q2,010,METHYLPHENIDATE,8511.86,466090.2259,1826.23,2
2020,2,2020Q2,010,MORPHINE,5429.79,466090.2259,1164.97,2
2020,2,2020Q2,010,OXYCODONE,16699.01,466090.2259,3582.78,2
2020,2,2020Q2,010,OXYMORPHONE,35.06,466090.2259,7.52,2
2020,2,2020Q2,010,TAPENTADOL,1023.5,466090.2259,219.59,2
2020,2,2020Q2,011,AMPHETAMINE,2260.68,167032.2128,1353.44,2
2020,2,2020Q2,011,BUPRENORPHINE,1459.92,167032.2128,874.03,2
2020,2,2020Q2,011,CODEINE,830.97,167032.2128,497.49,2
2020,2,2020Q2,011,FENTANYL,27.02,167032.2128,16.18,2
2020,2,2020Q2,011,HYDROCODONE,303.34,167032.2128,181.61,2
2020,2,2020Q2,011,HYDROMORPHONE,268.23,167032.2128,160.59,2
2020,2,2020Q2,011,LISDEXAMFETAMINE,663.66,167032.2128,397.32,2
2020,2,2020Q2,011,MEPERIDINE,0.87,167032.2128,0.52,2
2020,2,2020Q2,011,METHADONE,8081.53,167032.2128,4838.31,2
2020,2,2020Q2,011,METHYLPHENIDATE,3066.33,167032.2128,1835.77,2
2020,2,2020Q2,011,MORPHINE,2106.03,167032.2128,1260.85,2
2020,2,2020Q2,011,OXYCODONE,6438.72,167032.2128,3854.78,2
2020,2,2020Q2,011,OXYMORPHONE,7.67,167032.2128,4.59,2
2020,2,2020Q2,011,TAPENTADOL,143,167032.2128,85.61,2
2020,2,2020Q2,012,AMPHETAMINE,2580.45,124443.3472,2073.59,2
2020,2,2020Q2,012,BUPRENORPHINE,1708.21,124443.3472,1372.68,2
2020,2,2020Q2,012,CODEINE,496.52,124443.3472,398.99,2
2020,2,2020Q2,012,FENTANYL,21.19,124443.3472,17.03,2
2020,2,2020Q2,012,HYDROCODONE,489.66,124443.3472,393.48,2
2020,2,2020Q2,012,HYDROMORPHONE,96.43,124443.3472,77.49,2
2020,2,2020Q2,012,LISDEXAMFETAMINE,660.77,124443.3472,530.98,2
2020,2,2020Q2,012,MEPERIDINE,0.54,124443.3472,0.43,2
2020,2,2020Q2,012,METHADONE,5311.84,124443.3472,4268.48,2
2020,2,2020Q2,012,METHAMPHETAMINE,0,124443.3472,0,2
2020,2,2020Q2,012,METHYLPHENIDATE,3669.98,124443.3472,2949.12,2
2020,2,2020Q2,012,MORPHINE,925.48,124443.3472,743.7,2
2020,2,2020Q2,012,OXYCODONE,3297.17,124443.3472,2649.53,2
2020,2,2020Q2,012,OXYMORPHONE,19.27,124443.3472,15.48,2
2020,2,2020Q2,012,TAPENTADOL,95,124443.3472,76.34,2
2020,2,2020Q2,013,AMPHETAMINE,2783.21,83384.3556,3337.81,2
2020,2,2020Q2,013,BUPRENORPHINE,1182.98,83384.3556,1418.71,2
2020,2,2020Q2,013,CODEINE,252.56,83384.3556,302.89,2
2020,2,2020Q2,013,FENTANYL,9.51,83384.3556,11.41,2
2020,2,2020Q2,013,HYDROCODONE,269.27,83384.3556,322.93,2
2020,2,2020Q2,013,HYDROMORPHONE,101.47,83384.3556,121.69,2
2020,2,2020Q2,013,LISDEXAMFETAMINE,454.39,83384.3556,544.93,2
2020,2,2020Q2,013,MEPERIDINE,0,83384.3556,0,2
2020,2,2020Q2,013,METHADONE,1885.84,83384.3556,2261.62,2
2020,2,2020Q2,013,METHYLPHENIDATE,1749.84,83384.3556,2098.52,2
2020,2,2020Q2,013,MORPHINE,1044.36,83384.3556,1252.47,2
2020,2,2020Q2,013,OXYCODONE,2985.02,83384.3556,3579.83,2
2020,2,2020Q2,013,OXYMORPHONE,11.51,83384.3556,13.8,2
2020,2,2020Q2,013,TAPENTADOL,83,83384.3556,99.54,2
2020,2,2020Q2,014,AMPHETAMINE,5762.73,226270.9101,2546.83,1
2020,2,2020Q2,014,BUPRENORPHINE,1447.77,226270.9101,639.84,1
2020,2,2020Q2,014,CODEINE,1153.14,226270.9101,509.63,1
2020,2,2020Q2,014,FENTANYL,23.35,226270.9101,10.32,1
2020,2,2020Q2,014,HYDROCODONE,877.41,226270.9101,387.77,1
2020,2,2020Q2,014,HYDROMORPHONE,116.58,226270.9101,51.52,1
2020,2,2020Q2,014,LISDEXAMFETAMINE,1479.36,226270.9101,653.8,1
2020,2,2020Q2,014,MEPERIDINE,0.44,226270.9101,0.19,1
2020,2,2020Q2,014,METHADONE,7629.5,226270.9101,3371.84,1
2020,2,2020Q2,014,METHAMPHETAMINE,1.61,226270.9101,0.71,1
2020,2,2020Q2,014,METHYLPHENIDATE,4991.25,226270.9101,2205.87,1
2020,2,2020Q2,014,MORPHINE,1680.44,226270.9101,742.67,1
2020,2,2020Q2,014,OXYCODONE,5318.75,226270.9101,2350.61,1
2020,2,2020Q2,014,OXYMORPHONE,0.98,226270.9101,0.43,1
2020,2,2020Q2,014,TAPENTADOL,244,226270.9101,107.84,1
2020,2,2020Q2,015,AMPHETAMINE,8121.32,398688.202,2037.01,1
2020,2,2020Q2,015,BUPRENORPHINE,1923.45,398688.202,482.44,1
2020,2,2020Q2,015,CODEINE,1709.89,398688.202,428.88,1
2020,2,2020Q2,015,FENTANYL,33.34,398688.202,8.36,1
2020,2,2020Q2,015,HYDROCODONE,1198.15,398688.202,300.52,1
2020,2,2020Q2,015,HYDROMORPHONE,157.5,398688.202,39.5,1
2020,2,2020Q2,015,LISDEXAMFETAMINE,1683.43,398688.202,422.24,1
2020,2,2020Q2,015,MEPERIDINE,7.08,398688.202,1.78,1
2020,2,2020Q2,015,METHADONE,3926.86,398688.202,984.95,1
2020,2,2020Q2,015,METHYLPHENIDATE,7129.03,398688.202,1788.12,1
2020,2,2020Q2,015,MORPHINE,2142.54,398688.202,537.4,1
2020,2,2020Q2,015,OXYCODONE,7527.6,398688.202,1888.09,1
2020,2,2020Q2,015,OXYMORPHONE,44.34,398688.202,11.12,1
2020,2,2020Q2,015,TAPENTADOL,427,398688.202,107.1,1
2020,2,2020Q2,016,AMPHETAMINE,5506.75,191914.8485,2869.37,2
2020,2,2020Q2,016,BUPRENORPHINE,2450.3,191914.8485,1276.76,2
2020,2,2020Q2,016,CODEINE,1459.1,191914.8485,760.29,2
2020,2,2020Q2,016,FENTANYL,39.31,191914.8485,20.48,2
2020,2,2020Q2,016,HYDROCODONE,727.56,191914.8485,379.11,2
2020,2,2020Q2,016,HYDROMORPHONE,167.47,191914.8485,87.26,2
2020,2,2020Q2,016,LISDEXAMFETAMINE,935.94,191914.8485,487.69,2
2020,2,2020Q2,016,MEPERIDINE,4.36,191914.8485,2.27,2
2020,2,2020Q2,016,METHADONE,9076.46,191914.8485,4729.42,2
2020,2,2020Q2,016,METHAMPHETAMINE,0,191914.8485,0,2
2020,2,2020Q2,016,METHYLPHENIDATE,3367.87,191914.8485,1754.88,2
2020,2,2020Q2,016,MORPHINE,1453.25,191914.8485,757.24,2
2020,2,2020Q2,016,OXYCODONE,6586.56,191914.8485,3432.02,2
2020,2,2020Q2,016,OXYMORPHONE,2.68,191914.8485,1.4,2
2020,2,2020Q2,016,TAPENTADOL,248.5,191914.8485,129.48,2
2020,2,2020Q2,017,AMPHETAMINE,11431.81,406479.7696,2812.39,1
2020,2,2020Q2,017,BUPRENORPHINE,1542,406479.7696,379.35,1
2020,2,2020Q2,017,CODEINE,1701.76,406479.7696,418.66,1
2020,2,2020Q2,017,FENTANYL,50.67,406479.7696,12.47,1
2020,2,2020Q2,017,HYDROCODONE,856.53,406479.7696,210.72,1
2020,2,2020Q2,017,HYDROMORPHONE,295.27,406479.7696,72.64,1
2020,2,2020Q2,017,LISDEXAMFETAMINE,2639.6,406479.7696,649.38,1
2020,2,2020Q2,017,MEPERIDINE,5.12,406479.7696,1.26,1
2020,2,2020Q2,017,METHADONE,3436.73,406479.7696,845.49,1
2020,2,2020Q2,017,METHAMPHETAMINE,3.21,406479.7696,0.79,1
2020,2,2020Q2,017,METHYLPHENIDATE,9050.69,406479.7696,2226.6,1
2020,2,2020Q2,017,MORPHINE,3248.14,406479.7696,799.09,1
2020,2,2020Q2,017,OXYCODONE,6307.1,406479.7696,1551.64,1
2020,2,2020Q2,017,OXYMORPHONE,0.89,406479.7696,0.22,1
2020,2,2020Q2,017,TAPENTADOL,445,406479.7696,109.48,1
2020,2,2020Q2,018,AMPHETAMINE,21071.99,713612.0414,2952.86,1
2020,2,2020Q2,018,BUPRENORPHINE,4993.98,713612.0414,699.82,1
2020,2,2020Q2,018,CODEINE,5386.09,713612.0414,754.76,1
2020,2,2020Q2,018,FENTANYL,110.33,713612.0414,15.46,1
2020,2,2020Q2,018,HYDROCODONE,3483.68,713612.0414,488.18,1
2020,2,2020Q2,018,HYDROMORPHONE,1110.21,713612.0414,155.58,1
2020,2,2020Q2,018,LISDEXAMFETAMINE,4361.76,713612.0414,611.22,1
2020,2,2020Q2,018,MEPERIDINE,2.4,713612.0414,0.34,1
2020,2,2020Q2,018,METHADONE,15974.07,713612.0414,2238.48,1
2020,2,2020Q2,018,METHAMPHETAMINE,4.02,713612.0414,0.56,1
2020,2,2020Q2,018,METHYLPHENIDATE,12799.17,713612.0414,1793.58,1
2020,2,2020Q2,018,MORPHINE,6382.88,713612.0414,894.45,1
2020,2,2020Q2,018,OXYCODONE,19005.81,713612.0414,2663.33,1
2020,2,2020Q2,018,OXYMORPHONE,145.06,713612.0414,20.33,1
2020,2,2020Q2,018,TAPENTADOL,7303.5,713612.0414,1023.46,1
2020,2,2020Q2,019,AMPHETAMINE,18482.55,528031.1383,3500.28,1
2020,2,2020Q2,019,BUPRENORPHINE,3673.31,528031.1383,695.66,1
2020,2,2020Q2,019,CODEINE,1773.26,528031.1383,335.82,1
2020,2,2020Q2,019,FENTANYL,41.97,528031.1383,7.95,1
2020,2,2020Q2,019,HYDROCODONE,1739.91,528031.1383,329.51,1
2020,2,2020Q2,019,HYDROMORPHONE,283.41,528031.1383,53.67,1
2020,2,2020Q2,019,LISDEXAMFETAMINE,3951.31,528031.1383,748.31,1
2020,2,2020Q2,019,MEPERIDINE,42.59,528031.1383,8.07,1
2020,2,2020Q2,019,METHADONE,15006.06,528031.1383,2841.89,1
2020,2,2020Q2,019,METHAMPHETAMINE,1.61,528031.1383,0.3,1
2020,2,2020Q2,019,METHYLPHENIDATE,9568.48,528031.1383,1812.11,1
2020,2,2020Q2,019,MORPHINE,2465.6,528031.1383,466.94,1
2020,2,2020Q2,019,OXYCODONE,9104.91,528031.1383,1724.31,1
2020,2,2020Q2,019,OXYMORPHONE,62.36,528031.1383,11.81,1
2020,2,2020Q2,019,TAPENTADOL,1132.5,528031.1383,214.48,1
2020,2,2020Q2,020,AMPHETAMINE,14816.12,428643.4648,3456.51,1
2020,2,2020Q2,020,BUPRENORPHINE,2047.06,428643.4648,477.57,1
2020,2,2020Q2,020,CODEINE,1528.64,428643.4648,356.62,1
2020,2,2020Q2,020,FENTANYL,33.51,428643.4648,7.82,1
2020,2,2020Q2,020,HYDROCODONE,905.77,428643.4648,211.31,1
2020,2,2020Q2,020,HYDROMORPHONE,408.24,428643.4648,95.24,1
2020,2,2020Q2,020,LISDEXAMFETAMINE,3391.71,428643.4648,791.27,1
2020,2,2020Q2,020,MEPERIDINE,0,428643.4648,0,1
2020,2,2020Q2,020,METHADONE,451.58,428643.4648,105.35,1
2020,2,2020Q2,020,METHYLPHENIDATE,9224.05,428643.4648,2151.92,1
2020,2,2020Q2,020,MORPHINE,1927.36,428643.4648,449.64,1
2020,2,2020Q2,020,OXYCODONE,7326.57,428643.4648,1709.25,1
2020,2,2020Q2,020,OXYMORPHONE,35.06,428643.4648,8.18,1
2020,2,2020Q2,020,TAPENTADOL,295.5,428643.4648,68.94,1
2020,2,2020Q2,021,AMPHETAMINE,33612.22,1433103.372,2345.41,1
2020,2,2020Q2,021,BUPRENORPHINE,10176.23,1433103.372,710.08,1
2020,2,2020Q2,021,CODEINE,4584.13,1433103.372,319.87,1
2020,2,2020Q2,021,FENTANYL,158.72,1433103.372,11.08,1
2020,2,2020Q2,021,HYDROCODONE,2050.21,1433103.372,143.06,1
2020,2,2020Q2,021,HYDROMORPHONE,2562.47,1433103.372,178.81,1
2020,2,2020Q2,021,LISDEXAMFETAMINE,6180.47,1433103.372,431.26,1
2020,2,2020Q2,021,MEPERIDINE,38.67,1433103.372,2.7,1
2020,2,2020Q2,021,METHADONE,25430.04,1433103.372,1774.47,1
2020,2,2020Q2,021,METHAMPHETAMINE,4.42,1433103.372,0.31,1
2020,2,2020Q2,021,METHYLPHENIDATE,17113.08,1433103.372,1194.13,1
2020,2,2020Q2,021,MORPHINE,5005.86,1433103.372,349.3,1
2020,2,2020Q2,021,OXYCODONE,22924.12,1433103.372,1599.61,1
2020,2,2020Q2,021,OXYMORPHONE,27.92,1433103.372,1.95,1
2020,2,2020Q2,021,TAPENTADOL,638,1433103.372,44.52,1
2020,2,2020Q2,022,AMPHETAMINE,1441.26,46477.90229,3100.96,1
2020,2,2020Q2,022,BUPRENORPHINE,125.17,46477.90229,269.31,1
2020,2,2020Q2,022,CODEINE,126.77,46477.90229,272.75,1
2020,2,2020Q2,022,FENTANYL,32.91,46477.90229,70.81,1
2020,2,2020Q2,022,HYDROCODONE,41.41,46477.90229,89.1,1
2020,2,2020Q2,022,HYDROMORPHONE,249.98,46477.90229,537.85,1
2020,2,2020Q2,022,LISDEXAMFETAMINE,318.53,46477.90229,685.34,1
2020,2,2020Q2,022,MEPERIDINE,14.82,46477.90229,31.89,1
2020,2,2020Q2,022,METHADONE,316.71,46477.90229,681.42,1
2020,2,2020Q2,022,METHYLPHENIDATE,744.64,46477.90229,1602.14,1
2020,2,2020Q2,022,MORPHINE,828.97,46477.90229,1783.58,1
2020,2,2020Q2,022,OXYCODONE,1811.64,46477.90229,3897.85,1
2020,2,2020Q2,022,OXYMORPHONE,18.2,46477.90229,39.16,1
2020,2,2020Q2,022,TAPENTADOL,100.5,46477.90229,216.23,1
2020,2,2020Q2,023,AMPHETAMINE,14314.36,441804.7507,3239.97,1
2020,2,2020Q2,023,BUPRENORPHINE,3841.18,441804.7507,869.43,1
2020,2,2020Q2,023,CODEINE,1812.01,441804.7507,410.14,1
2020,2,2020Q2,023,FENTANYL,57.26,441804.7507,12.96,1
2020,2,2020Q2,023,HYDROCODONE,1343.6,441804.7507,304.12,1
2020,2,2020Q2,023,HYDROMORPHONE,275.01,441804.7507,62.25,1
2020,2,2020Q2,023,LISDEXAMFETAMINE,2732.68,441804.7507,618.53,1
2020,2,2020Q2,023,MEPERIDINE,21.79,441804.7507,4.93,1
2020,2,2020Q2,023,METHADONE,7650.52,441804.7507,1731.65,1
2020,2,2020Q2,023,METHAMPHETAMINE,0,441804.7507,0,1
2020,2,2020Q2,023,METHYLPHENIDATE,7548.92,441804.7507,1708.66,1
2020,2,2020Q2,023,MORPHINE,3128.44,441804.7507,708.1,1
2020,2,2020Q2,023,OXYCODONE,12273.39,441804.7507,2778.01,1
2020,2,2020Q2,023,OXYMORPHONE,10.97,441804.7507,2.48,1
2020,2,2020Q2,023,TAPENTADOL,492.5,441804.7507,111.47,1
2020,2,2020Q2,024,AMPHETAMINE,10914.33,413849.6289,2637.27,1
2020,2,2020Q2,024,BUPRENORPHINE,1102.69,413849.6289,266.45,1
2020,2,2020Q2,024,CODEINE,892.81,413849.6289,215.73,1
2020,2,2020Q2,024,FENTANYL,23.5,413849.6289,5.68,1
2020,2,2020Q2,024,HYDROCODONE,547.32,413849.6289,132.25,1
2020,2,2020Q2,024,HYDROMORPHONE,183.4,413849.6289,44.32,1
2020,2,2020Q2,024,LISDEXAMFETAMINE,2902.64,413849.6289,701.38,1
2020,2,2020Q2,024,MEPERIDINE,11.44,413849.6289,2.76,1
2020,2,2020Q2,024,METHADONE,1145.64,413849.6289,276.83,1
2020,2,2020Q2,024,METHAMPHETAMINE,0.4,413849.6289,0.1,1
2020,2,2020Q2,024,METHYLPHENIDATE,10404.97,413849.6289,2514.19,1
2020,2,2020Q2,024,MORPHINE,821.9,413849.6289,198.6,1
2020,2,2020Q2,024,OXYCODONE,3764.01,413849.6289,909.51,1
2020,2,2020Q2,024,OXYMORPHONE,18.64,413849.6289,4.5,1
2020,2,2020Q2,024,TAPENTADOL,211,413849.6289,50.98,1
2020,2,2020Q2,025,AMPHETAMINE,4924.44,114655.9815,4294.97,1
2020,2,2020Q2,025,BUPRENORPHINE,1263.55,114655.9815,1102.04,1
2020,2,2020Q2,025,CODEINE,505.06,114655.9815,440.5,1
2020,2,2020Q2,025,FENTANYL,15.37,114655.9815,13.41,1
2020,2,2020Q2,025,HYDROCODONE,384.2,114655.9815,335.09,1
2020,2,2020Q2,025,HYDROMORPHONE,77.29,114655.9815,67.41,1
2020,2,2020Q2,025,LISDEXAMFETAMINE,892.59,114655.9815,778.49,1
2020,2,2020Q2,025,MEPERIDINE,0,114655.9815,0,1
2020,2,2020Q2,025,METHADONE,3250.52,114655.9815,2835.02,1
2020,2,2020Q2,025,METHYLPHENIDATE,2713.57,114655.9815,2366.71,1
2020,2,2020Q2,025,MORPHINE,1101.48,114655.9815,960.68,1
2020,2,2020Q2,025,OXYCODONE,3759.61,114655.9815,3279.04,1
2020,2,2020Q2,025,OXYMORPHONE,0,114655.9815,0,1
2020,2,2020Q2,025,TAPENTADOL,167,114655.9815,145.65,1
2020,2,2020Q2,026,AMPHETAMINE,6211.09,154780.7696,4012.83,3
2020,2,2020Q2,026,BUPRENORPHINE,1680.49,154780.7696,1085.72,3
2020,2,2020Q2,026,CODEINE,838.62,154780.7696,541.81,3
2020,2,2020Q2,026,FENTANYL,18.25,154780.7696,11.79,3
2020,2,2020Q2,026,HYDROCODONE,652.29,154780.7696,421.43,3
2020,2,2020Q2,026,HYDROMORPHONE,159.51,154780.7696,103.06,3
2020,2,2020Q2,026,LISDEXAMFETAMINE,1282.8,154780.7696,828.79,3
2020,2,2020Q2,026,MEPERIDINE,0,154780.7696,0,3
2020,2,2020Q2,026,METHADONE,3254.9,154780.7696,2102.91,3
2020,2,2020Q2,026,METHAMPHETAMINE,0,154780.7696,0,3
2020,2,2020Q2,026,METHYLPHENIDATE,3974.53,154780.7696,2567.84,3
2020,2,2020Q2,026,MORPHINE,1310.64,154780.7696,846.77,3
2020,2,2020Q2,026,OXYCODONE,4523.75,154780.7696,2922.68,3
2020,2,2020Q2,026,OXYMORPHONE,8.65,154780.7696,5.59,3
2020,2,2020Q2,026,TAPENTADOL,225,154780.7696,145.37,3
2020,2,2020Q2,027,AMPHETAMINE,13412.33,554311.0418,2419.64,1
2020,2,2020Q2,027,BUPRENORPHINE,6557.32,554311.0418,1182.97,1
2020,2,2020Q2,027,CODEINE,2491.59,554311.0418,449.49,1
2020,2,2020Q2,027,FENTANYL,111.23,554311.0418,20.07,1
2020,2,2020Q2,027,HYDROCODONE,2252.82,554311.0418,406.42,1
2020,2,2020Q2,027,HYDROMORPHONE,432.49,554311.0418,78.02,1
2020,2,2020Q2,027,LISDEXAMFETAMINE,2673.13,554311.0418,482.24,1
2020,2,2020Q2,027,MEPERIDINE,9.15,554311.0418,1.65,1
2020,2,2020Q2,027,METHADONE,18793.76,554311.0418,3390.47,1
2020,2,2020Q2,027,METHAMPHETAMINE,2.41,554311.0418,0.43,1
2020,2,2020Q2,027,METHYLPHENIDATE,7725.24,554311.0418,1393.67,1
2020,2,2020Q2,027,MORPHINE,6941.23,554311.0418,1252.23,1
2020,2,2020Q2,027,OXYCODONE,22427.07,554311.0418,4045.94,1
2020,2,2020Q2,027,OXYMORPHONE,192.34,554311.0418,34.7,1
2020,2,2020Q2,027,TAPENTADOL,1493,554311.0418,269.34,1
2020,2,2020Q2,028,AMPHETAMINE,25498.88,678438.6726,3758.46,1
2020,2,2020Q2,028,BUPRENORPHINE,5599.35,678438.6726,825.33,1
2020,2,2020Q2,028,CODEINE,2613.46,678438.6726,385.22,1
2020,2,2020Q2,028,FENTANYL,61.51,678438.6726,9.07,1
2020,2,2020Q2,028,HYDROCODONE,4147.01,678438.6726,611.26,1
2020,2,2020Q2,028,HYDROMORPHONE,562.12,678438.6726,82.85,1
2020,2,2020Q2,028,LISDEXAMFETAMINE,5037.56,678438.6726,742.52,1
2020,2,2020Q2,028,MEPERIDINE,11.66,678438.6726,1.72,1
2020,2,2020Q2,028,METHADONE,20417.9,678438.6726,3009.54,1
2020,2,2020Q2,028,METHAMPHETAMINE,2.41,678438.6726,0.36,1
2020,2,2020Q2,028,METHYLPHENIDATE,11478.14,678438.6726,1691.85,1
2020,2,2020Q2,028,MORPHINE,4946.09,678438.6726,729.04,1
2020,2,2020Q2,028,OXYCODONE,16125.73,678438.6726,2376.89,1
2020,2,2020Q2,028,OXYMORPHONE,46.48,678438.6726,6.85,1
2020,2,2020Q2,028,TAPENTADOL,1184.5,678438.6726,174.59,1
2020,2,2020Q2,029,AMPHETAMINE,13891.13,378686.2547,3668.24,1
2020,2,2020Q2,029,BUPRENORPHINE,3796.25,378686.2547,1002.48,1
2020,2,2020Q2,029,CODEINE,1453.38,378686.2547,383.8,1
2020,2,2020Q2,029,FENTANYL,48.11,378686.2547,12.7,1
2020,2,2020Q2,029,HYDROCODONE,2638.15,378686.2547,696.66,1
2020,2,2020Q2,029,HYDROMORPHONE,326.16,378686.2547,86.13,1
2020,2,2020Q2,029,LISDEXAMFETAMINE,2357.49,378686.2547,622.54,1
2020,2,2020Q2,029,MEPERIDINE,11.33,378686.2547,2.99,1
2020,2,2020Q2,029,METHADONE,12803.6,378686.2547,3381.06,1
2020,2,2020Q2,029,METHAMPHETAMINE,5.63,378686.2547,1.49,1
2020,2,2020Q2,029,METHYLPHENIDATE,4877.7,378686.2547,1288.06,1
2020,2,2020Q2,029,MORPHINE,2960.76,378686.2547,781.85,1
2020,2,2020Q2,029,OXYCODONE,10425.04,378686.2547,2752.95,1
2020,2,2020Q2,029,OXYMORPHONE,34.7,378686.2547,9.16,1
2020,2,2020Q2,029,TAPENTADOL,427,378686.2547,112.76,1
2020,2,2020Q2,030,AMPHETAMINE,13404.87,378544.4843,3541.16,1
2020,2,2020Q2,030,BUPRENORPHINE,1957.46,378544.4843,517.1,1
2020,2,2020Q2,030,CODEINE,1524.59,378544.4843,402.75,1
2020,2,2020Q2,030,FENTANYL,54.15,378544.4843,14.3,1
2020,2,2020Q2,030,HYDROCODONE,1444.34,378544.4843,381.55,1
